Lambda,DC,w,w_c,N,Fitness,generation,optimizer_type,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.433299217992498e-07,0.5843560489841514,4.238206431368966e-07,3.390565145095173e-07,327,0.000705806306041,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
2.2594652362493278e-07,0.6085616264881626,5.702336473594099e-07,4.561869178875281e-07,225,2.2788814958390783e-05,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
2.876330486231452e-07,0.75032267927272,4.7625251054621226e-07,1.5496726644765606e-07,380,0.0052203002161382,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
3.381400165150956e-07,0.3498203479397682,4.699893112349081e-07,1.2268045465130596e-07,344,0.0797604996165767,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
3.5078343949557775e-07,0.7805859915513492,4.253891748539606e-07,3.403113398831685e-07,198,0.0084364989358523,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
3.366210475374642e-07,0.5624434748126551,4.713738945943501e-07,1.0076782171491977e-07,411,0.0591934179800653,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
2.155538517944769e-07,0.387801595445675,4.387413774144478e-07,2.800402739994081e-07,266,0.0013273644562958,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
2.9352352264519364e-07,0.8235132829052699,5.192973037779903e-07,4.154378430223923e-07,342,0.0003931894724815,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
3.443740368842534e-07,0.4176681701988729,5.06643853883272e-07,2.74146445545106e-07,81,0.000291693448782,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
2.392927062601443e-07,0.6999821249891245,5.078432390587045e-07,3.012146028518833e-07,486,0.1210654800342156,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
2.331697291634591e-07,0.1749008137204435,4.483435149465434e-07,2.412735189237564e-07,410,0.0070209353288119,1,WOA,reflection_band,1450.0,10,20,0.2,0.6,0.2
